Years;Agriculture;Industry;Services
1991;11,72999954;34;54,27000046
1992;11,53999996;33,63000107;54,81999969
1993;11,56000042;32,86000061;55,58000183
1994;11,76000023;32,47000122;55,75999832
1995;11,47999954;32,18000031;56,34000015
1996;12,19999981;31,27000046;56,52999878
1997;13,28999996;31,02000046;55,70000076
1998;13,93000031;35,20999908;50,86000061
1999;12,78999996;34,34999847;52,86000061
2000;12,68000031;34,43999863;52,88000107
2001;13,17000008;33,45000076;53,38000107
2002;12,63000011;33,33000183;54,04000092
2003;12,97000027;32,65999985;54,36999893
2004;12,30000019;31,05999947;56,63999939
2005;12,05000019;30,38999939;57,56000137
2006;11,90999985;30,30999947;57,77999878
2007;11,84000015;30,23999977;57,91999817
2008;11,43999958;28,98999977;59,56999969
2009;11,44999981;27,80999947;60,75
2010;11,19999981;27,26000023;61,54999924
2011;10,21000004;26,86000061;62,93999863
2012;10,81000042;25,14999962;64,04000092
2013;10,22999954;23,70000076;66,06999969
2014;8,649999619;23,86000061;67,48999786
2015;7,53000021;24,35000038;68,12000275
2016;6,909999847;24,5;68,58999634
2017;6,400000095;24,73999977;68,86000061
2018;6,039999962;24,85000038;69,11000061
2019;5,5;24,68000031;69,83000183
